timestamp,total_attacks,attack_types,benign_count,messages_processed
2026-04-14T16:10:24.249562,1,{'Benign': 1},1,1
2026-04-14T16:10:25.397838,7,{'Benign': 7},7,7
2026-04-14T16:10:26.625628,14,{'Benign': 14},14,14
2026-04-14T16:10:27.755034,20,{'Benign': 20},20,20
2026-04-14T16:10:28.890052,28,{'Benign': 28},28,28
2026-04-14T16:10:30.032748,34,{'Benign': 34},34,34
2026-04-14T16:10:31.176757,41,{'Benign': 41},41,41
2026-04-14T16:10:32.364380,48,{'Benign': 48},48,48
2026-04-14T16:10:33.551838,56,{'Benign': 56},56,56
2026-04-14T16:10:34.681844,61,{'Benign': 61},61,61
2026-04-14T16:10:35.817520,68,{'Benign': 68},68,68
2026-04-14T16:10:36.948996,76,{'Benign': 76},76,76
2026-04-14T16:10:38.079485,83,{'Benign': 83},83,83
2026-04-14T16:10:39.212475,91,{'Benign': 91},91,91
2026-04-14T16:10:40.354356,99,{'Benign': 99},99,99
2026-04-14T16:10:41.501174,104,{'Benign': 104},104,104
2026-04-14T16:10:42.643557,111,{'Benign': 111},111,111
2026-04-14T16:10:43.786322,119,{'Benign': 119},119,119
2026-04-14T16:10:44.923827,126,{'Benign': 126},126,126
2026-04-14T16:10:46.061501,133,{'Benign': 133},133,133
2026-04-14T16:10:47.199125,141,{'Benign': 141},141,141
2026-04-14T16:10:48.604406,144,{'Benign': 144},144,144
2026-04-14T16:10:49.736056,151,{'Benign': 151},151,151
2026-04-14T16:10:50.882872,160,{'Benign': 160},160,160
2026-04-14T16:10:52.023396,167,{'Benign': 167},167,167
2026-04-14T16:10:53.170021,174,{'Benign': 174},174,174
2026-04-14T16:10:54.304811,180,{'Benign': 180},180,180
2026-04-14T16:10:55.876349,185,{'Benign': 185},185,185
2026-04-14T16:10:57.001731,190,{'Benign': 190},190,190
2026-04-14T16:10:58.149190,196,{'Benign': 196},196,196
2026-04-14T16:10:59.295455,202,{'Benign': 202},202,202
2026-04-14T16:11:00.429613,210,{'Benign': 210},210,210
2026-04-14T16:11:01.568314,218,{'Benign': 218},218,218
2026-04-14T16:11:02.708162,226,{'Benign': 226},226,226
2026-04-14T16:11:03.840365,233,{'Benign': 233},233,233
2026-04-14T16:11:04.967309,241,{'Benign': 241},241,241
2026-04-14T16:11:06.097479,248,{'Benign': 248},248,248
2026-04-14T16:11:07.228289,255,{'Benign': 255},255,255
2026-04-14T16:11:08.360257,264,{'Benign': 264},264,264
2026-04-14T16:11:09.518632,271,{'Benign': 271},271,271
2026-04-14T16:11:10.648124,279,{'Benign': 279},279,279
2026-04-14T16:11:11.783623,287,{'Benign': 287},287,287
2026-04-14T16:11:12.945956,294,{'Benign': 294},294,294
2026-04-14T16:11:14.086960,301,{'Benign': 301},301,301
2026-04-14T16:11:15.230377,309,{'Benign': 309},309,309
2026-04-14T16:11:16.367778,316,{'Benign': 316},316,316
2026-04-14T16:11:17.520378,324,{'Benign': 324},324,324
2026-04-14T16:11:18.661092,332,{'Benign': 332},332,332
2026-04-14T16:11:19.801574,340,{'Benign': 340},340,340
2026-04-14T16:11:20.937874,346,{'Benign': 346},346,346
2026-04-14T16:11:22.071292,354,{'Benign': 354},354,354
2026-04-14T16:11:23.202426,361,{'Benign': 361},361,361
2026-04-14T16:11:24.336440,369,{'Benign': 369},369,369
2026-04-14T16:11:25.473103,376,{'Benign': 376},376,376
2026-04-14T16:11:26.614387,383,{'Benign': 383},383,383
2026-04-14T16:11:27.749041,391,{'Benign': 391},391,391
2026-04-14T16:11:28.887264,399,{'Benign': 399},399,399
2026-04-14T16:11:30.018079,406,{'Benign': 406},406,406
2026-04-14T16:11:31.151958,414,{'Benign': 414},414,414
2026-04-14T16:11:32.300596,420,{'Benign': 420},420,420
2026-04-14T16:11:33.447897,427,{'Benign': 427},427,427
2026-04-14T16:11:34.582076,442,{'Benign': 442},442,442
2026-04-14T16:11:35.713019,457,{'Benign': 457},457,457
2026-04-14T16:11:36.838374,474,{'Benign': 474},474,474
2026-04-14T16:11:37.957322,492,{'Benign': 492},492,492
2026-04-14T16:11:39.077420,508,{'Benign': 508},508,508
2026-04-14T16:11:40.209553,524,{'Benign': 524},524,524
2026-04-14T16:11:41.337736,540,"{'Benign': 539, 'Bot': 1}",539,540
2026-04-14T16:11:42.493572,554,"{'Benign': 553, 'Bot': 1}",553,554
2026-04-14T16:11:43.610829,569,"{'Benign': 568, 'Bot': 1}",568,569
2026-04-14T16:11:44.799107,587,"{'Benign': 586, 'Bot': 1}",586,587
2026-04-14T16:11:45.925255,602,"{'Benign': 601, 'Bot': 1}",601,602
2026-04-14T16:11:47.048188,619,"{'Benign': 618, 'Bot': 1}",618,619
2026-04-14T16:11:48.170678,635,"{'Benign': 634, 'Bot': 1}",634,635
2026-04-14T16:11:49.300062,644,"{'Benign': 643, 'Bot': 1}",643,644
2026-04-14T16:11:50.437430,651,"{'Benign': 650, 'Bot': 1}",650,651
2026-04-14T16:11:51.573796,659,"{'Benign': 658, 'Bot': 1}",658,659
2026-04-14T16:11:52.719058,664,"{'Benign': 663, 'Bot': 1}",663,664
2026-04-14T16:11:53.841198,671,"{'Benign': 670, 'Bot': 1}",670,671
